response time (ms), current time
124.710730, 1030001.522900
124.562636, 1035003.644028
124.525969, 1040001.743038
124.448411, 1045000.534726
124.462254, 1050000.131095
124.527999, 1055000.084580
124.508702, 1060006.356366
124.519549, 1065006.792762
124.423322, 1070008.344767
124.333279, 1075004.596849
124.439166, 1080009.390303
124.534226, 1085000.328161
124.497636, 1090002.796990
124.527361, 1095002.979917
124.371965, 1100002.604648
124.242355, 1105000.950117
124.144418, 1110009.571427
124.057539, 1115006.602770
123.979735, 1120000.144262
124.130974, 1125000.145739
124.040773, 1130001.512835
123.994315, 1135000.146278
123.889210, 1140008.430532
123.868175, 1145005.333440
123.843127, 1150003.317961
123.750093, 1155001.680141
123.770417, 1160004.926502
123.710316, 1165004.612579
123.680145, 1170000.040424
123.537664, 1175002.602720
123.845814, 1180000.692904
124.222070, 1185002.094741
124.244128, 1190008.251925
124.260858, 1195005.237569
124.143520, 1200000.391669
124.029487, 1205009.302344
123.934867, 1210000.467768
123.813108, 1215004.059413
123.734324, 1220014.243732
123.629096, 1225002.135681
123.583028, 1230001.978511
123.467538, 1235005.885081
123.519989, 1240009.226751
123.417231, 1245000.685938
123.466560, 1250000.288651
123.515369, 1255004.844872
123.633115, 1260000.103948
123.808842, 1265003.880665
124.009348, 1270000.087464
123.983877, 1275002.277548
123.886526, 1280000.620525
124.008840, 1285000.787938
123.979442, 1290004.892693
124.028396, 1295004.232433
124.042142, 1300003.314092
124.008778, 1305002.114065
123.909081, 1310000.349252
123.829379, 1315002.976778
123.877438, 1320000.495245
123.814692, 1325008.413472
123.934927, 1330009.242822
124.038877, 1335010.435163
124.204829, 1340002.526135
124.125338, 1345000.535852
124.065346, 1350003.638951
124.028154, 1355000.376231
123.947975, 1360001.568922
123.880973, 1365001.555107
123.800217, 1370003.017343
123.698229, 1375002.374045
123.638771, 1380000.655802
123.506993, 1385001.155029
123.394197, 1390019.414013
123.315656, 1395001.514990
123.214542, 1400000.455656
123.318648, 1405002.060510
123.646444, 1410002.832131
123.584721, 1415017.267073
123.543853, 1420001.891667
123.425386, 1425000.284088
123.349595, 1430012.631877
123.255911, 1435006.275252
123.351370, 1440004.636938
123.273570, 1445001.784829
123.387130, 1450007.301414
123.507322, 1455001.080026
123.432865, 1460002.278562
123.314177, 1465000.515430
123.423449, 1470000.139186
123.562718, 1475000.748287
123.461704, 1480003.620239
123.389563, 1485001.705431
123.481974, 1490005.273930
123.383653, 1495013.722216
123.302861, 1500000.821678
123.171735, 1505000.223521
123.119863, 1510001.394493
123.016091, 1515000.850271
122.918400, 1520002.902002
122.909177, 1525000.821343
122.827472, 1530000.578211
122.870318, 1535005.590820
123.022837, 1540000.599066
123.103792, 1545003.967446
123.102801, 1550002.590729
123.023975, 1555009.037937
122.991828, 1560002.331091
123.208982, 1565002.029672
123.126548, 1570000.784052
123.033482, 1575001.849906
122.969524, 1580001.751668
122.862686, 1585001.439855
122.826428, 1590001.121698
122.906854, 1595010.015240
122.863711, 1600001.331565
122.808747, 1605004.035943
122.707090, 1610006.516464
122.653147, 1615003.329921
122.552519, 1620000.680841
122.535125, 1625001.289381
122.574532, 1630000.239121
122.587052, 1635000.905786
122.493758, 1640001.855979
122.518570, 1645000.561868
122.419010, 1650001.155985
122.334178, 1655013.113654
122.351515, 1660001.947673
122.461234, 1665018.143488
122.418450, 1670000.242967
122.393685, 1675001.450771
122.327118, 1680003.278217
122.397054, 1685002.267933
122.327407, 1690004.070392
122.252055, 1695001.808188
122.180283, 1700000.232071
122.110049, 1705003.712523
122.080970, 1710000.091139
122.068456, 1715007.159285
122.063369, 1720009.361163
121.962616, 1725000.728046
121.909394, 1730013.094878
121.869859, 1735002.969895
121.887778, 1740001.522378
121.821641, 1745000.419743
121.738853, 1750004.806862
121.706534, 1755004.471966
121.686279, 1760002.215642
121.624417, 1765000.338413
121.610189, 1770002.674873
121.752703, 1775006.680776
121.690525, 1780001.412047
121.665433, 1785004.291867
121.668702, 1790004.546205
121.575883, 1795002.155402
121.578650, 1800001.485556
121.759778, 1805007.431030
121.694753, 1810001.193227
121.673451, 1815007.448453
121.680806, 1820001.133810
121.610395, 1825005.444530
121.548946, 1830008.860380
121.465959, 1835000.306360
121.446578, 1840001.391158
121.533909, 1845006.003503
121.556076, 1850001.696219
121.528793, 1855001.668746
121.514163, 1860001.190463
121.511889, 1865002.268316
121.485958, 1870001.137555
121.415982, 1875007.022934
121.338551, 1880004.416878
121.288447, 1885005.903118
121.246890, 1890000.222080
121.326187, 1895001.260625
121.283875, 1900001.778407
121.251202, 1905022.175490
121.181669, 1910000.570784
121.102098, 1915000.245994
